Date : 2025-03-14 02:35:28
Directory : /Users/Apple/Downloads/nftSwap
Total : 67 files,  8813 codes, 942 comments, 1234 blanks, all 10989 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/Apple/Downloads/nftSwap/contracts/IERC721Receiver.sol                                       | Solidity   |          9 |          2 |          1 |         12 |
| /Users/Apple/Downloads/nftSwap/contracts/Lock.sol                                                  | Solidity   |         20 |          5 |         10 |         35 |
| /Users/Apple/Downloads/nftSwap/contracts/MockFailingNFT.sol                                        | Solidity   |         39 |          5 |         12 |         56 |
| /Users/Apple/Downloads/nftSwap/contracts/NFTSwap.sol                                               | Solidity   |        118 |         23 |         25 |        166 |
| /Users/Apple/Downloads/nftSwap/contracts/String.sol                                                | Solidity   |         49 |         19 |          7 |         75 |
| /Users/Apple/Downloads/nftSwap/contracts/WTFApe.sol                                                | Solidity   |         14 |          5 |          5 |         24 |
| /Users/Apple/Downloads/nftSwap/frontend/package.json                                               | JSON       |         33 |          0 |          1 |         34 |
| /Users/Apple/Downloads/nftSwap/frontend/public/index.html                                          | HTML       |         80 |          1 |          7 |         88 |
| /Users/Apple/Downloads/nftSwap/frontend/public/manifest.json                                       | JSON       |         25 |          0 |          1 |         26 |
| /Users/Apple/Downloads/nftSwap/frontend/src/App.css                                                | CSS        |        238 |         26 |         35 |        299 |
| /Users/Apple/Downloads/nftSwap/frontend/src/App.js                                                 | JavaScript |         42 |          6 |          4 |         52 |
| /Users/Apple/Downloads/nftSwap/frontend/src/abis/NFTSwapABI.json                                   | JSON       |        297 |          0 |          1 |        298 |
| /Users/Apple/Downloads/nftSwap/frontend/src/abis/WTFApeABI.json                                    | JSON       |        390 |          0 |          1 |        391 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/BackgroundEffect.js                         | JavaScript |        209 |          4 |         14 |        227 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/CustomSelect/CustomSelect.js                | JavaScript |        133 |          8 |         20 |        161 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/FeaturedNFTs/FeaturedNFTs.js                | JavaScript |        130 |          1 |         16 |        147 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/Filters/FilterBar.js                        | JavaScript |         96 |         16 |          9 |        121 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/IPFSExample/IPFSExample.js                  | JavaScript |        337 |         19 |         55 |        411 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/IPFSExample/index.js                        | JavaScript |          2 |          0 |          2 |          4 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/IPFSImage/IPFSImage.js                      | JavaScript |        266 |         56 |         38 |        360 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/IPFSImage/index.js                          | JavaScript |          2 |          0 |          2 |          4 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/ListNFT/ListNFTSection.js                   | JavaScript |          0 |          0 |          1 |          1 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/NFTCard/NFTCard.js                          | JavaScript |        437 |         40 |         42 |        519 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/NFTGrid/NFTGrid.js                          | JavaScript |        126 |         23 |         20 |        169 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/NFTMetadata/NFTMetadata.js                  | JavaScript |        165 |         41 |         29 |        235 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/NFTMetadata/index.js                        | JavaScript |          2 |          0 |          2 |          4 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/Navbar/Navbar.css                           | CSS        |        212 |         17 |         30 |        259 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/Navbar/Navbar.js                            | JavaScript |         80 |         15 |         10 |        105 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/styled/Button.js                            | JavaScript |        142 |          0 |         22 |        164 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/styled/Container.js                         | JavaScript |         21 |          0 |          5 |         26 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/styled/GlobalScrollbarStyle.js              | JavaScript |         54 |         12 |         13 |         79 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/styled/GlobalStyle.js                       | JavaScript |        129 |         13 |         24 |        166 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/styled/GradientText.js                      | JavaScript |         91 |         23 |          8 |        122 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/styled/SectionTitle.js                      | JavaScript |         43 |          2 |          5 |         50 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/styled/StatusMessage.js                     | JavaScript |         95 |          0 |          6 |        101 |
| /Users/Apple/Downloads/nftSwap/frontend/src/components/styled/index.js                             | JavaScript |         90 |          1 |         10 |        101 |
| /Users/Apple/Downloads/nftSwap/frontend/src/contexts/AnimationContext.js                           | JavaScript |         46 |         10 |          9 |         65 |
| /Users/Apple/Downloads/nftSwap/frontend/src/contexts/FontContext.js                                | JavaScript |         28 |          2 |          7 |         37 |
| /Users/Apple/Downloads/nftSwap/frontend/src/data/mockData.js                                       | JavaScript |        362 |         33 |         12 |        407 |
| /Users/Apple/Downloads/nftSwap/frontend/src/index.css                                              | CSS        |         56 |         12 |         10 |         78 |
| /Users/Apple/Downloads/nftSwap/frontend/src/index.js                                               | JavaScript |         23 |          0 |          2 |         25 |
| /Users/Apple/Downloads/nftSwap/frontend/src/pages/Home/Home.js                                     | JavaScript |        452 |         44 |         51 |        547 |
| /Users/Apple/Downloads/nftSwap/frontend/src/pages/Home/components/ListNFTForm.js                   | JavaScript |        426 |         40 |         50 |        516 |
| /Users/Apple/Downloads/nftSwap/frontend/src/pages/Home/components/ListNFTSection.js                | JavaScript |        192 |         27 |         25 |        244 |
| /Users/Apple/Downloads/nftSwap/frontend/src/pages/Home/components/sharedState.js                   | JavaScript |          6 |          4 |          4 |         14 |
| /Users/Apple/Downloads/nftSwap/frontend/src/pages/MintWTFape/MintWTFape.js                         | JavaScript |        380 |         12 |         51 |        443 |
| /Users/Apple/Downloads/nftSwap/frontend/src/pages/MyNFTs/MyNFTs.js                                 | JavaScript |        749 |         54 |         98 |        901 |
| /Users/Apple/Downloads/nftSwap/frontend/src/pages/TransactionHistory/TransactionHistory.js         | JavaScript |        185 |         18 |         20 |        223 |
| /Users/Apple/Downloads/nftSwap/frontend/src/pages/TransactionHistory/components/TransactionCard.js | JavaScript |        232 |         15 |         22 |        269 |
| /Users/Apple/Downloads/nftSwap/frontend/src/routes.js                                              | JavaScript |         21 |          0 |          3 |         24 |
| /Users/Apple/Downloads/nftSwap/frontend/src/theme.js                                               | JavaScript |         35 |          0 |          2 |         37 |
| /Users/Apple/Downloads/nftSwap/frontend/src/utils/dateUtils.js                                     | JavaScript |         12 |          5 |          1 |         18 |
| /Users/Apple/Downloads/nftSwap/frontend/src/utils/ipfsUtils.js                                     | JavaScript |        205 |        112 |         40 |        357 |
| /Users/Apple/Downloads/nftSwap/frontend/src/utils/nftSwap.js                                       | JavaScript |         99 |          8 |         14 |        121 |
| /Users/Apple/Downloads/nftSwap/hardhat.config.js                                                   | JavaScript |         15 |          1 |          1 |         17 |
| /Users/Apple/Downloads/nftSwap/ignition/modules/Lock.js                                            | JavaScript |         11 |          2 |          6 |         19 |
| /Users/Apple/Downloads/nftSwap/package.json                                                        | JSON       |         37 |          0 |          1 |         38 |
| /Users/Apple/Downloads/nftSwap/scripts/deploy.js                                                   | JavaScript |         14 |          2 |          3 |         19 |
| /Users/Apple/Downloads/nftSwap/test/Lock.js                                                        | JavaScript |         92 |          8 |         27 |        127 |
| /Users/Apple/Downloads/nftSwap/test/NFTSwap.test.js                                                | JavaScript |        163 |         63 |         41 |        267 |
| /Users/Apple/Downloads/nftSwap/test/WTFApe.test.js                                                 | JavaScript |         51 |         13 |         12 |         76 |
| Total                                                                                              |            |      8,813 |        942 |      1,234 |     10,989 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
